rgn_id,product,year,tonnes,usd,level,georgn_id,georgn_values,global_values,values,values_final,values_gf_description,values_gf
194,fish_oil,2020,NA,NA,r2,11,1.3832835882340406,4.540713190074931,NA,1.3832835882340406,geo_region,1
194,fish_oil,2021,NA,NA,r2,11,1.451210120596937,3.48007393854607,NA,1.451210120596937,geo_region,1
194,fish_oil,2022,NA,NA,r2,11,1.4677137622621226,8.317722669144743,NA,1.4677137622621226,geo_region,1
195,fish_oil,2018,131.25,184,r2,11,1.3552878181845123,3.563837514887609,1.401904761904762,1.401904761904762,none,0
195,fish_oil,2019,140.465,206.5625,r2,11,1.379622445060606,3.3202593584285816,1.470562061723561,1.470562061723561,none,0
195,fish_oil,2020,172.13,260.73,r2,11,1.3832835882340406,4.540713190074931,1.51472724103875,1.51472724103875,none,0
195,fish_oil,2021,239.35,384.595,r2,11,1.451210120596937,3.48007393854607,1.6068310006266975,1.6068310006266975,none,0
195,fish_oil,2022,309.4425,503.515,r2,11,1.4677137622621226,8.317722669144743,1.627168213803857,1.627168213803857,none,0
195,ornamentals,2018,0,0,r2,11,30.61,38531.39513984439,NA,30.61,geo_region,1
195,ornamentals,2019,0,0,r2,11,27.794837287817685,478.7129414868993,NA,27.794837287817685,geo_region,1
195,ornamentals,2020,0,0,r2,11,10.632320126382016,274.1581294501244,NA,10.632320126382016,geo_region,1
195,ornamentals,2021,0,0,r2,11,12.335125110321304,349.8919791221881,NA,12.335125110321304,geo_region,1
195,ornamentals,2022,0,0,r2,11,12.826887008826944,465.0671958020857,NA,12.826887008826944,geo_region,1
195,seaweeds,2018,NA,NA,r2,11,2.6451612903225805,10.012575940433832,NA,2.6451612903225805,geo_region,1
195,seaweeds,2019,NA,NA,r2,11,151.58708852668585,15.869919612389543,NA,151.58708852668585,geo_region,1
195,seaweeds,2020,NA,NA,r2,11,44.883944449148956,11.681599057984746,NA,44.883944449148956,geo_region,1
195,seaweeds,2021,NA,NA,r2,11,27.148297233403618,18.024005860201346,NA,27.148297233403618,geo_region,1
195,seaweeds,2022,NA,NA,r2,11,23.565479555304314,11.09554805329505,NA,23.565479555304314,geo_region,1
196,ornamentals,2018,0,0,r2,11,30.61,38531.39513984439,NA,30.61,geo_region,1
196,ornamentals,2019,0,0,r2,11,27.794837287817685,478.7129414868993,NA,27.794837287817685,geo_region,1
196,ornamentals,2020,5.3,4.635,r2,11,10.632320126382016,274.1581294501244,0.8745283018867924,0.8745283018867924,none,0
196,ornamentals,2021,5.3,4.635,r2,11,12.335125110321304,349.8919791221881,0.8745283018867924,0.8745283018867924,none,0
196,ornamentals,2022,5.3,4.635,r2,11,12.826887008826944,465.0671958020857,0.8745283018867924,0.8745283018867924,none,0
196,seaweeds,2018,0,0,r2,11,2.6451612903225805,10.012575940433832,NA,2.6451612903225805,geo_region,1
196,seaweeds,2019,0,0,r2,11,151.58708852668585,15.869919612389543,NA,151.58708852668585,geo_region,1
196,seaweeds,2020,0,0,r2,11,44.883944449148956,11.681599057984746,NA,44.883944449148956,geo_region,1
196,seaweeds,2021,0,0,r2,11,27.148297233403618,18.024005860201346,NA,27.148297233403618,geo_region,1
196,seaweeds,2022,0,0,r2,11,23.565479555304314,11.09554805329505,NA,23.565479555304314,geo_region,1
196,fish_oil,2018,NA,NA,r2,11,1.3552878181845123,3.563837514887609,NA,1.3552878181845123,geo_region,1
196,fish_oil,2019,NA,NA,r2,11,1.379622445060606,3.3202593584285816,NA,1.379622445060606,geo_region,1
196,fish_oil,2020,NA,NA,r2,11,1.3832835882340406,4.540713190074931,NA,1.3832835882340406,geo_region,1
196,fish_oil,2021,NA,NA,r2,11,1.451210120596937,3.48007393854607,NA,1.451210120596937,geo_region,1
196,fish_oil,2022,NA,NA,r2,11,1.4677137622621226,8.317722669144743,NA,1.4677137622621226,geo_region,1
197,ornamentals,2019,0.7,0.09,r2,17,2.6377681424007307,478.7129414868993,0.1285714285714286,0.1285714285714286,none,0
197,ornamentals,2020,0.8,0.08499999999999999,r2,17,2.6266074281150162,274.1581294501244,0.10624999999999998,0.10624999999999998,none,0
197,ornamentals,2021,1.4333333333333331,0.27666666666666667,r2,17,1.9561607507139946,349.8919791221881,0.19302325581395352,0.19302325581395352,none,0
197,ornamentals,2022,1.075,0.9225,r2,17,1.2374809823951314,465.0671958020857,0.858139534883721,0.858139534883721,none,0
197,seaweeds,2018,NA,NA,r2,17,NA,10.012575940433832,NA,10.012575940433832,global,1
197,seaweeds,2019,NA,NA,r2,17,NA,15.869919612389543,NA,15.869919612389543,global,1
197,seaweeds,2020,NA,NA,r2,17,NA,11.681599057984746,NA,11.681599057984746,global,1
197,seaweeds,2021,NA,NA,r2,17,NA,18.024005860201346,NA,18.024005860201346,global,1
197,seaweeds,2022,NA,NA,r2,17,NA,11.09554805329505,NA,11.09554805329505,global,1
197,ornamentals,2018,NA,NA,r2,17,5.146964856230032,38531.39513984439,NA,5.146964856230032,geo_region,1
197,fish_oil,2018,NA,NA,r2,17,0.3357137814210437,3.563837514887609,NA,0.3357137814210437,geo_region,1
197,fish_oil,2019,NA,NA,r2,17,0.3324329403752614,3.3202593584285816,NA,0.3324329403752614,geo_region,1
197,fish_oil,2020,NA,NA,r2,17,0.3465675386400777,4.540713190074931,NA,0.3465675386400777,geo_region,1
197,fish_oil,2021,NA,NA,r2,17,0.33678445077729724,3.48007393854607,NA,0.33678445077729724,geo_region,1
197,fish_oil,2022,NA,NA,r2,17,0.42760135016379885,8.317722669144743,NA,0.42760135016379885,geo_region,1
198,seaweeds,2018,NA,NA,r2,17,NA,10.012575940433832,NA,10.012575940433832,global,1
198,seaweeds,2019,NA,NA,r2,17,NA,15.869919612389543,NA,15.869919612389543,global,1
198,seaweeds,2020,NA,NA,r2,17,NA,11.681599057984746,NA,11.681599057984746,global,1
198,seaweeds,2021,NA,NA,r2,17,NA,18.024005860201346,NA,18.024005860201346,global,1
198,seaweeds,2022,NA,NA,r2,17,NA,11.09554805329505,NA,11.09554805329505,global,1
198,ornamentals,2018,NA,NA,r2,17,5.146964856230032,38531.39513984439,NA,5.146964856230032,geo_region,1
198,ornamentals,2019,NA,NA,r2,17,2.6377681424007307,478.7129414868993,NA,2.6377681424007307,geo_region,1
198,ornamentals,2020,NA,NA,r2,17,2.6266074281150162,274.1581294501244,NA,2.6266074281150162,geo_region,1
198,ornamentals,2021,NA,NA,r2,17,1.9561607507139946,349.8919791221881,NA,1.9561607507139946,geo_region,1
198,ornamentals,2022,NA,NA,r2,17,1.2374809823951314,465.0671958020857,NA,1.2374809823951314,geo_region,1
198,fish_oil,2018,NA,NA,r2,17,0.3357137814210437,3.563837514887609,NA,0.3357137814210437,geo_region,1
198,fish_oil,2019,NA,NA,r2,17,0.3324329403752614,3.3202593584285816,NA,0.3324329403752614,geo_region,1
198,fish_oil,2020,NA,NA,r2,17,0.3465675386400777,4.540713190074931,NA,0.3465675386400777,geo_region,1
198,fish_oil,2021,NA,NA,r2,17,0.33678445077729724,3.48007393854607,NA,0.33678445077729724,geo_region,1
198,fish_oil,2022,NA,NA,r2,17,0.42760135016379885,8.317722669144743,NA,0.42760135016379885,geo_region,1
199,ornamentals,2018,0.7825,4.0275,r2,17,5.146964856230032,38531.39513984439,5.146964856230032,5.146964856230032,none,0
199,ornamentals,2019,0.7825,4.0275,r2,17,2.6377681424007307,478.7129414868993,5.146964856230032,5.146964856230032,none,0
199,ornamentals,2020,0.7825,4.0275,r2,17,2.6266074281150162,274.1581294501244,5.146964856230032,5.146964856230032,none,0
199,ornamentals,2021,0.4275,1.59,r2,17,1.9561607507139946,349.8919791221881,3.7192982456140355,3.7192982456140355,none,0
199,ornamentals,2022,0.2675,0.4325,r2,17,1.2374809823951314,465.0671958020857,1.616822429906542,1.616822429906542,none,0
199,seaweeds,2018,NA,NA,r2,17,NA,10.012575940433832,NA,10.012575940433832,global,1
199,seaweeds,2019,NA,NA,r2,17,NA,15.869919612389543,NA,15.869919612389543,global,1
199,seaweeds,2020,NA,NA,r2,17,NA,11.681599057984746,NA,11.681599057984746,global,1
199,seaweeds,2021,NA,NA,r2,17,NA,18.024005860201346,NA,18.024005860201346,global,1
199,seaweeds,2022,NA,NA,r2,17,NA,11.09554805329505,NA,11.09554805329505,global,1
199,fish_oil,2018,NA,NA,r2,17,0.3357137814210437,3.563837514887609,NA,0.3357137814210437,geo_region,1
199,fish_oil,2019,NA,NA,r2,17,0.3324329403752614,3.3202593584285816,NA,0.3324329403752614,geo_region,1
199,fish_oil,2020,NA,NA,r2,17,0.3465675386400777,4.540713190074931,NA,0.3465675386400777,geo_region,1
199,fish_oil,2021,NA,NA,r2,17,0.33678445077729724,3.48007393854607,NA,0.33678445077729724,geo_region,1
199,fish_oil,2022,NA,NA,r2,17,0.42760135016379885,8.317722669144743,NA,0.42760135016379885,geo_region,1
200,fish_oil,2018,9402.1325,2828.275,r2,17,0.3357137814210437,3.563837514887609,0.30081207640926144,0.30081207640926144,none,0
200,fish_oil,2019,7468.1775,2225.6925,r2,17,0.3324329403752614,3.3202593584285816,0.29802351376892156,0.29802351376892156,none,0
200,fish_oil,2020,4360.1775,1430.755,r2,17,0.3465675386400777,4.540713190074931,0.32814145754387297,0.32814145754387297,none,0
200,fish_oil,2021,1606.9299999999998,490.78,r2,17,0.33678445077729724,3.48007393854607,0.305414672698873,0.305414672698873,none,0
200,fish_oil,2022,234.3375,112.53249999999998,r2,17,0.42760135016379885,8.317722669144743,0.4802155011468501,0.4802155011468501,none,0
200,seaweeds,2018,NA,NA,r2,17,NA,10.012575940433832,NA,10.012575940433832,global,1
200,seaweeds,2019,NA,NA,r2,17,NA,15.869919612389543,NA,15.869919612389543,global,1
200,seaweeds,2020,NA,NA,r2,17,NA,11.681599057984746,NA,11.681599057984746,global,1
200,seaweeds,2021,NA,NA,r2,17,NA,18.024005860201346,NA,18.024005860201346,global,1
200,seaweeds,2022,NA,NA,r2,17,NA,11.09554805329505,NA,11.09554805329505,global,1
200,ornamentals,2018,NA,NA,r2,17,5.146964856230032,38531.39513984439,NA,5.146964856230032,geo_region,1
200,ornamentals,2019,NA,NA,r2,17,2.6377681424007307,478.7129414868993,NA,2.6377681424007307,geo_region,1
200,ornamentals,2020,NA,NA,r2,17,2.6266074281150162,274.1581294501244,NA,2.6266074281150162,geo_region,1
200,ornamentals,2021,NA,NA,r2,17,1.9561607507139946,349.8919791221881,NA,1.9561607507139946,geo_region,1
200,ornamentals,2022,NA,NA,r2,17,1.2374809823951314,465.0671958020857,NA,1.2374809823951314,geo_region,1
202,fish_oil,2018,0,0,r2,14,5.915613683652038,3.563837514887609,NA,5.915613683652038,geo_region,1
202,fish_oil,2019,0,0,r2,14,6.026382965524928,3.3202593584285816,NA,6.026382965524928,geo_region,1
202,fish_oil,2020,0,0,r2,14,5.464055981331156,4.540713190074931,NA,5.464055981331156,geo_region,1
202,fish_oil,2021,0,0,r2,14,5.670890393906268,3.48007393854607,NA,5.670890393906268,geo_region,1
202,fish_oil,2022,0,0,r2,14,5.710529110332851,8.317722669144743,NA,5.710529110332851,geo_region,1
202,ornamentals,2018,41,129,r2,14,10.79449051490515,38531.39513984439,3.1463414634146343,3.1463414634146343,none,0
202,ornamentals,2019,72.25,78.1425,r2,14,8.367671236199806,478.7129414868993,1.0815570934256056,1.0815570934256056,none,0
202,ornamentals,2020,204,25.54,r2,14,12.263785709767053,274.1581294501244,0.12519607843137254,0.12519607843137254,none,0
202,ornamentals,2021,203.5,24.54,r2,14,6.783428942389369,349.8919791221881,0.12058968058968059,0.12058968058968059,none,0
202,ornamentals,2022,200,17.54,r2,14,7.248844890524728,465.0671958020857,0.0877,0.0877,none,0
202,seaweeds,2018,10438,4993.75,r2,14,0.45218351941683255,10.012575940433832,0.4784201954397394,0.4784201954397394,none,0
202,seaweeds,2019,10812.25,5968.5375,r2,14,0.9956685839914019,15.869919612389543,0.5520162315891697,0.5520162315891697,none,0
202,seaweeds,2020,11118.5375,6646.735,r2,14,1.0579441333278639,11.681599057984746,0.5978065910197271,0.5978065910197271,none,0
202,seaweeds,2021,10573.9225,6592.9575,r2,14,1.135183850075545,18.024005860201346,0.6235110480524139,0.6235110480524139,none,0
202,seaweeds,2022,10646.1825,6850.6224999999995,r2,14,1.1601891158060684,11.09554805329505,0.6434815953981626,0.6434815953981626,none,0
203,fish_oil,2018,17649,24470.75,r2,34,7.630063015912072,3.563837514887609,1.3865233157685988,1.3865233157685988,none,0
203,fish_oil,2019,11906.5625,16124.0975,r2,34,8.049350687766738,3.3202593584285816,1.3542193643211464,1.3542193643211464,none,0
203,fish_oil,2020,10210.6675,13622.2025,r2,34,9.034694056300125,4.540713190074931,1.3341147873045518,1.3341147873045518,none,0
203,fish_oil,2021,3448.8375,5327.625,r2,34,9.883367857255866,3.48007393854607,1.5447596472724505,1.5447596472724505,none,0
203,fish_oil,2022,4514.5525,11113.85,r2,34,11.58840939451075,8.317722669144743,2.4617833107489613,2.4617833107489613,none,0
203,ornamentals,2018,77.25,575.25,r2,34,9.793720058572863,38531.39513984439,7.446601941747573,7.446601941747573,none,0
203,ornamentals,2019,81.6125,639.5175,r2,34,9.645740556034559,478.7129414868993,7.836023893398684,7.836023893398684,none,0
203,ornamentals,2020,83.6275,634.9025,r2,34,9.642187711081062,274.1581294501244,7.592030133628293,7.592030133628293,none,0
203,ornamentals,2021,44.1275,593.855,r2,34,8.901348616570035,349.8919791221881,13.457707778596115,13.457707778596115,none,0
203,ornamentals,2022,28.277500000000003,550.085,r2,34,9.96349564715308,465.0671958020857,19.453098753425866,19.453098753425866,none,0
203,seaweeds,2018,376.5,6973.5,r2,34,4.615394502700786,10.012575940433832,18.52191235059761,18.52191235059761,none,0
203,seaweeds,2019,330.95,5888.8125,r2,34,5.0478360881509765,15.869919612389543,17.793662184620032,17.793662184620032,none,0
203,seaweeds,2020,291.5025,5039.74,r2,34,5.260020062627853,11.681599057984746,17.28883971835576,17.28883971835576,none,0
203,seaweeds,2021,280.375,4395.2375,r2,34,5.103655204101573,18.024005860201346,15.676281765492645,15.676281765492645,none,0
203,seaweeds,2022,251.1925,3622.4775,r2,34,4.565325147615734,11.09554805329505,14.421121251629726,14.421121251629726,none,0
204,fish_oil,2018,0.4,5,r2,34,7.630063015912072,3.563837514887609,12.5,12.5,none,0
204,fish_oil,2019,0.2,2.5,r2,34,8.049350687766738,3.3202593584285816,12.5,12.5,none,0
204,fish_oil,2020,0.22,3.42,r2,34,9.034694056300125,4.540713190074931,15.545454545454545,15.545454545454545,none,0
204,fish_oil,2021,0.19,3.2125,r2,34,9.883367857255866,3.48007393854607,16.907894736842106,16.907894736842106,none,0
204,fish_oil,2022,0.12,2.7675,r2,34,11.58840939451075,8.317722669144743,23.0625,23.0625,none,0
204,ornamentals,2018,0,0,r2,34,9.793720058572863,38531.39513984439,NA,9.793720058572863,geo_region,1
204,ornamentals,2019,0,0,r2,34,9.645740556034559,478.7129414868993,NA,9.645740556034559,geo_region,1
204,ornamentals,2020,0,0,r2,34,9.642187711081062,274.1581294501244,NA,9.642187711081062,geo_region,1
204,ornamentals,2021,0,0,r2,34,8.901348616570035,349.8919791221881,NA,8.901348616570035,geo_region,1
204,ornamentals,2022,0,0,r2,34,9.96349564715308,465.0671958020857,NA,9.96349564715308,geo_region,1
204,seaweeds,2018,50,33.25,r2,34,4.615394502700786,10.012575940433832,0.665,0.665,none,0
204,seaweeds,2019,0.885,3.605,r2,34,5.0478360881509765,15.869919612389543,4.073446327683616,4.073446327683616,none,0
204,seaweeds,2020,2.375,13.525,r2,34,5.260020062627853,11.681599057984746,5.6947368421052635,5.6947368421052635,none,0
204,seaweeds,2021,6.125,36.1025,r2,34,5.103655204101573,18.024005860201346,5.894285714285714,5.894285714285714,none,0
204,seaweeds,2022,16.4625,60.595,r2,34,4.565325147615734,11.09554805329505,3.6807896735003798,3.6807896735003798,none,0
205,ornamentals,2018,142.69700982673623,157.475,r2,35,4.420850308050087,38531.39513984439,1.1035620171102907,1.1035620171102907,none,0
205,ornamentals,2019,89.32903078341093,111.1075,r2,35,5.16003729904374,478.7129414868993,1.2438005766500884,1.2438005766500884,none,0
205,ornamentals,2020,42.35068675317212,62.02,r2,35,6.073033195602348,274.1581294501244,1.4644390623808392,1.4644390623808392,none,0
205,ornamentals,2021,0.645,4.865,r2,35,7.761660915503255,349.8919791221881,7.542635658914729,7.542635658914729,none,0
205,ornamentals,2022,0.4525,3.735,r2,35,11.397724261342796,465.0671958020857,8.254143646408838,8.254143646408838,none,0
205,seaweeds,2018,32.53,65.34,r2,35,4.880607874947624,10.012575940433832,2.0086074392868123,2.0086074392868123,none,0
205,seaweeds,2019,239.77000000000004,327.39,r2,35,5.335437707792218,15.869919612389543,1.3654335404762894,1.3654335404762894,none,0
205,seaweeds,2020,697.85,456.9866666666666,r2,35,5.686256030491027,11.681599057984746,0.6548494184519117,0.6548494184519117,none,0
205,seaweeds,2021,601.265,386.7675,r2,35,5.832575561749689,18.024005860201346,0.6432563012980965,0.6432563012980965,none,0
205,seaweeds,2022,625.3075,390.135,r2,35,5.9883235769503,11.09554805329505,0.6239090367539171,0.6239090367539171,none,0
205,fish_oil,2018,NA,NA,r2,35,4.702077295284629,3.563837514887609,NA,4.702077295284629,geo_region,1
205,fish_oil,2019,NA,NA,r2,35,4.463701931205542,3.3202593584285816,NA,4.463701931205542,geo_region,1
205,fish_oil,2020,NA,NA,r2,35,3.888908488020139,4.540713190074931,NA,3.888908488020139,geo_region,1
205,fish_oil,2021,NA,NA,r2,35,4.125339886791366,3.48007393854607,NA,4.125339886791366,geo_region,1
205,fish_oil,2022,NA,NA,r2,35,6.043566430155209,8.317722669144743,NA,6.043566430155209,geo_region,1
206,fish_oil,2018,1490.75,2475.5,NA,NA,1.3390586982297266,3.563837514887609,1.6605735368103303,1.6605735368103303,none,0
206,fish_oil,2019,1997.985,3007.5425,NA,NA,1.2526439137430962,3.3202593584285816,1.5052878274861925,1.5052878274861925,none,0
206,fish_oil,2020,2968.3375,4580.675,NA,NA,1.271589315568058,4.540713190074931,1.5431786311361158,1.5431786311361158,none,0
206,fish_oil,2021,2638.0175,4096.4425,NA,NA,1.2764244361532855,3.48007393854607,1.5528488723065712,1.5528488723065712,none,0
206,fish_oil,2022,4839.3825,7800.4275,NA,NA,1.61186422028017,8.317722669144743,1.61186422028017,1.61186422028017,none,0
206,ornamentals,2018,2.077671130149348,1438.25,NA,NA,353.37070676859605,38531.39513984439,692.2414135371921,692.2414135371921,none,0
206,ornamentals,2019,1.5457337927462262,1404.745,NA,NA,502.0088654980086,478.7129414868993,908.788438599289,908.788438599289,none,0
206,ornamentals,2020,0.9825012673377032,1073.25,NA,NA,656.7161989699816,274.1581294501244,1092.365003159945,1092.365003159945,none,0
206,ornamentals,2021,0.4820645640675494,920.9775,NA,NA,991.5633192252217,349.8919791221881,1910.4857910089981,1910.4857910089981,none,0
206,ornamentals,2022,0,801.385,NA,NA,229.42784090909095,465.0671958020857,NA,229.42784090909095,geo_region,1
